player_id,active_days,total_recharge,total_profit,total_bet,burn_per_day,loss_pct,first_active,last_active,vip_level,lifetime_recharge,lifetime_withdraw,pr_group
74541001,1,500.00,-2407.00,1675.00,2407.00,481.4,2026-01-29,2026-01-29,0,0.00,0.00,PR95+_fastest
97099539,1,900.00,-2403.50,8326.00,2403.50,267.1,2026-01-01,2026-01-01,0,0.00,0.00,PR95+_fastest
21855084,5,6500.00,-11955.80,73172.00,2391.16,183.9,2026-01-26,2026-01-31,0,0.00,0.00,PR95+_fastest
54302384,3,2500.00,-7090.45,25905.20,2363.48,283.6,2026-01-16,2026-01-31,0,0.00,0.00,PR95+_fastest
64295309,1,200.00,-2361.80,2630.40,2361.80,1180.9,2026-01-21,2026-01-21,0,0.00,0.00,PR95+_fastest
78205111,2,500.00,-4719.59,12685.00,2359.80,943.9,2026-01-28,2026-01-29,0,0.00,0.00,PR95+_fastest
86530338,6,2000.00,-14113.00,42924.60,2352.17,705.7,2026-01-02,2026-01-18,0,0.00,0.00,PR95+_fastest
10158283,1,500.00,-2344.90,5430.50,2344.90,469.0,2026-01-12,2026-01-12,0,0.00,0.00,PR95+_fastest
77088331,1,500.00,-2340.25,3982.00,2340.25,468.1,2026-01-30,2026-01-30,0,0.00,0.00,PR95+_fastest
55134526,1,500.00,-2325.80,7363.00,2325.80,465.2,2026-01-09,2026-01-09,0,0.00,0.00,PR95+_fastest
83935324,2,2000.00,-4639.64,9140.30,2319.82,232.0,2026-01-14,2026-01-22,0,0.00,0.00,PR95+_fastest
22116250,1,500.00,-2310.56,3150.00,2310.56,462.1,2026-01-30,2026-01-30,0,0.00,0.00,PR95+_fastest
26238103,1,1000.00,-2307.99,13685.83,2307.99,230.8,2026-01-14,2026-01-14,0,0.00,0.00,PR95+_fastest
24216673,1,500.00,-2302.60,21433.00,2302.60,460.5,2026-01-18,2026-01-18,0,0.00,0.00,PR95+_fastest
91763699,8,50100.00,-18329.26,281437.10,2291.16,36.6,2026-01-01,2026-01-20,0,0.00,0.00,PR95+_fastest
23391943,3,2010.00,-6823.46,175299.38,2274.49,339.5,2026-01-14,2026-01-17,0,0.00,0.00,PR95+_fastest
94798528,6,29500.00,-13545.00,194973.00,2257.50,45.9,2026-01-20,2026-01-30,0,0.00,0.00,PR95+_fastest
64404039,5,5208.00,-11274.91,115846.33,2254.98,216.5,2026-01-14,2026-01-19,0,0.00,0.00,PR95+_fastest
12810039,3,2000.00,-6685.60,23911.40,2228.53,334.3,2026-01-07,2026-01-22,0,0.00,0.00,PR95+_fastest
93401424,3,500.00,-6641.07,218755.50,2213.69,1328.2,2026-01-06,2026-01-26,0,0.00,0.00,PR95+_fastest
